"","title","description","contributor","author","publisher"
"586","PROOF OF LIFE","When J. P. Beaumont is asked to investigate the death of his nemesis, it leads to an old case once thought solved.","by J. A. Jance","J A Jance","Morrow"
"587","THE GOLDEN HOUSE","The septuagenarian billionaire Nero Golden moves into Greenwich Village with his three sons and gets entangled with a sleek Russian expat.","by Salman Rushdie","Salman Rushdie","Random House"
"588","THE LATE SHOW","Renée Ballard, a young detective with the L.A.P.D., investigates crimes against two women.","by Michael Connelly","Michael Connelly","Little, Brown"
"589","STAR WARS: PHASMA","Captain Phasma, officer of the First Order, battles a mysterious stormtrooper who is bent on unearthing her origins.","by Delilah S. Dawson","Delilah S Dawson","Del Rey"
"590","THE LYING GAME","Four school friends reunite as their long-held secret threatens to emerge.","by Ruth Ware","Ruth Ware","Scout"
"591","ANY DREAM WILL DO","As Shay Benson begins her life anew, building a relationship with Pastor Drew Douglas, her brother's return threatens to undo it.","by Debbie Macomber","Debbie Macomber","Ballantine"
"592","INTO THE WATER","In this psychological thriller by the author of “The Girl on the Train,” women are found drowned in a river in an English town.","by Paula Hawkins","Paula Hawkins","Riverhead"
"593","THE BURNING GIRL","An intense friendship between Julia and Cassie is disrupted when they enter adolescence and Cassie's life unravels.","by Claire Messud","Claire Messud","Norton"
"594","SULFUR SPRINGS","A newly married couple search for the wife's missing son, which leads them to a border town in the middle of a drug war.","by William Kent Krueger","William Kent Krueger","Atria"
"595","EXPOSED","Bennie Rosato and Mary DiNunzio find themselves on opposite sides of a lawsuit, threatening their friendship and their law firm.","by Lisa Scottoline","Lisa Scottoline","St. Martin's"
"596","A STRANGER IN THE HOUSE","Karen Krupp's life is turned upside down when she suffers amnesia because of a car crash.","by Shari Lapena","Shari Lapena","Pamela Dorman"
"597","MRS. FLETCHER","A divorced woman has a sexual awakening in the digital age.","by Tom Perrotta","Tom Perrotta","Scribner"
"598","THE GOOD DAUGHTER","The lawyer Charlotte Quinn is challenged when violence returns to her hometown of Pikesville.","by Karin Slaughter","Karin Slaughter","Morrow"
"599","MAP OF THE HEART","Memories of World War II are stirred and passions ignited when Camille Adams travels with her daughter and father to Provence, France.","by Susan Wiggs","Susan Wiggs","Morrow"
"600","I KNOW A SECRET","Rizzoli and Isles investigate two separate homicides and uncover other dangerous mysteries.","by Tess Gerritsen","Tess Gerritsen","Ballantine"
"601","HOUSE OF SPIES","Gabriel Allon, the Israeli art restorer and spy, now the head of Israel’s secret intelligence service, pursues an ISIS mastermind.","by Daniel Silva","Daniel Silva","Harper"
"602","BARELY LEGAL","Herbie Fisher, the protégé of Stone Barrington, becomes a partner at a law firm and finds himself in a web of deceit.","by Stuart Woods and Parnell Hall","Stuart Woods and Parnell Hall","Putnam"
"603","THE LAST TUDOR","The youngest Grey sister, Mary, is left to face her ruthless cousin, Queen Elizabeth.","by Philippa Gregory","Philippa Gregory","Touchstone"
"604","PARADISE VALLEY","A North Dakota investigator pursues a trucker who preys on prostitutes.","by C J. Box","C J Box","Minotaur"
"605","THE PARIS SPY","American-born spy Maggie Hope searches for her half sister in Nazi-occupied France during World War II.","by Susan Elia MacNeal","Susan Elia MacNeal","Bantam"
"606","CRIME SCENE","Clay Edison, a deputy coroner and former star athlete, investigates a possible murder.","by Jonathan Kellerman and Jesse Kellerman","Jonathan Kellerman and Jesse Kellerman","Ballantine"
"607","MURDER GAMES","An expert on serial murder becomes involved in the hunt for a New York City killer.","by James Patterson and Howard Roughan","James Patterson and Howard Roughan","Little, Brown"
"608","THE IDENTICALS","Complications in the lives of identical twins who were raised separately on Nantucket and Martha’s Vineyard.","by Elin Hilderbrand","Elin Hilderbrand","Little, Brown"
"609","DRAGONSWORN","The granddaughter of a Greek god must stop him from destroying her people by getting a weapon that is in the possession of a dragon.","by Sherrilyn Kenyon","Sherrilyn Kenyon","St. Martin's"
"610","DEVIL'S CUT","The final book in the Bourbon Kings series.","by J. R. Ward","J R Ward","Ballantine"
"611","THE DUCHESS","A 19th-century British duke's daughter, disinherited by her half brothers, flees to Paris to make a new life.","by Danielle Steel","Danielle Steel","Delacorte"
"612","THE PAINTED QUEEN","The final adventure in the series featuring Amelia Peabody and her archaeologist husband, Radcliffe Emerson.","by Elizabeth Peters and Joan Hess","Elizabeth Peters and Joan Hess","Morrow"
"613","USE OF FORCE","The counterterrorism operative Scot Harvath is called in when a missing terrorism suspect drowns off the Italian coast.","by Brad Thor","Brad Thor","Atria/Emily Bestler"
"614","DEADFALL","The Manhattan prosecutor Alexandra Cooper becomes a suspect.","by Linda Fairstein","Linda Fairstein","Dutton"
"615","BATTLEFRONT II: INFERNO SQUAD","A prequel to the “Star Wars” video game Battlefront II features the Imperial soldiers of Inferno Squad.","by Christie Golden","Christie Golden","Del Rey"
"616","THE BREAKDOWN","In this psychological thriller, a woman is plagued by guilt over not having stopped to help a driver who turns out to have been murdered, and by fear of early-onset dementia.","by B. A. Paris","B A Paris","St. Martin's"
"617","THE SILENT CORNER","An F.B.I. agent investigates an alarming surge in suicides, including her husband's. The first in a new series.","by Dean Koontz","Dean Koontz","Bantam"
"618","WATCH ME DISAPPEAR","When a Berkeley woman vanishes after a hiking trip, her husband and daughter discover disturbing secrets.","by Janelle Brown","Janelle Brown","Spiegel & Grau"
"619","MEDDLING KIDS","Four old friends return to the site of their teenage adventures.","by Edgar Cantero","Edgar Cantero","Doubleday"
"620","TOM CLANCY: POINT OF CONTACT","Jack Ryan Jr. helps thwart a global financial crisis. (Tom Clancy died in 2013.)","by Mike Maden","Mike Maden","Putnam"
"621","SEVEN STONES TO STAND OR FALL","A collection of Outlander short fiction.","by Diana Gabaldon","Diana Gabaldon","Delacorte"
"622","TWO NIGHTS","Sunday Night, the heroine of a new series from the creator of Temperance Brennan, searches for a girl who may have been kidnapped by a cult.","by Kathy Reichs","Kathy Reichs","Bantam"
"623","SECRETS OF THE TULIP SISTERS","Sisters reconnect when one returns to their tulip-centered hometown.","by Susan Mallery","Susan Mallery","HQN"
"624","DOWN A DARK ROAD","Kate Burkholder, an Amish-born (but excommunicated) chief of police, believes that an old friend accused of his wife’s murder may be innocent.","by Linda Castillo","Linda Castillo","Minotaur"
"625","KISS CARLO","Extended Italian-American families work, feud and fall in love in the Philadelphia area in 1949.","by Adriana Trigiani","Adriana Trigiani","Harper/HarperCollins"
"626","WIRED","An F.B.I. agent recruits an idealistic (and beautiful) hacker to help him find a leaker.","by Julie Garwood","Julie Garwood","Berkley"
"627","THE FORCE","A detective sergeant and his crew in Manhattan North deal with gangs, drugs and guns, and steal millions of dollars.","by Don Winslow","Don Winslow","Morrow/HarperCollins"
"628","DRAGON TEETH","A paleontological rivalry plays out in 1870s Wyoming. A recently discovered manuscript by Crichton, who died in 2008.","by Michael Crichton","Michael Crichton","Harper/HarperCollins"
"629","DANGEROUS MINDS","Emerson Knight, an eccentric millionaire, and Riley Moon, a financial analyst, search for a missing island.","by Janet Evanovich","Janet Evanovich","Bantam"
"630","COME SUNDOWN","Years after she was kidnapped, a woman returns to her family’s Montana ranch.","by Nora Roberts","Nora Roberts","St. Martin's"
"631","THE MINISTRY OF UTMOST HAPPINESS","A sprawling novel of modern India by the author of “The God of Small Things.”","by Arundhati Roy","Arundhati Roy","Knopf"
"632","BEACH HOUSE FOR RENT","A woman who has rented out her South Carolina beach house for the summer winds up sharing it with her tenant when is faced with a tragedy.","by Mary Alice Monroe","Mary Alice Monroe","Gallery Books"
"633","NO MIDDLE NAME","A complete collection of Jack Reacher stories.","by Lee Child","Lee Child","Delacorte"
"634","THE FIX","The detective Amos Decker (“Memory Man”) witnesses a murder-suicide that turns out to be a matter of national security.","by David Baldacci","David Baldacci","Grand Central"
"635","NIGHTHAWK","The NUMA crew races the Russians and Chinese in a hunt for a missing American aircraft.","by Clive Cussler and Graham Brown","Clive Cussler and Graham Brown","Putnam"
"636","16TH SEDUCTION","In San Francisco, Detective Lindsay Boxer and the Women’s Murder Club face their toughest case yet.","by James Patterson and Maxine Paetro","James Patterson and Maxine Paetro","Little, Brown"
"637","THE RISE AND FALL OF D. O. D. O.","A near-future thriller combines science, magic and mystery.","by Neal Stephenson and Nicole Galland","Neal Stephenson and Nicole Galland","Morrow/HarperCollins"
"638","TESTIMONY","A former Illinois prosecutor joins the International Criminal Court to investigate a massacre in Bosnia.","by Scott Turow","Scott Turow","Grand Central"
"639","MAGPIE MURDERS","A novel within a novel pays homage to and updates Agatha Christie-style mysteries.","by Anthony Horowitz","Anthony Horowitz","HarperCollins"
"640","LOVE STORY","How John and Elizabeth Baxter fell in love.","by Karen Kingsbury","Karen Kingsbury","Howard"
"641","INDECENT EXPOSURE","Rekindling a romance with an old girlfriend who is now secretary of state exposes the New York lawyer Stone Barrington to unwanted attention.","by Stuart Woods","Stuart Woods","Putnam"
"642","BEREN AND LÚTHIEN","The love of a mortal man for an immortal elf, which figures in “The Silmarillion” and is part of the back story of “Lord of the Rings.” Edited by Christopher Tolkien.","by J.R.R. Tolkien","JRR Tolkien","Houghton Mifflin Harcourt"
"643","SAME BEACH, NEXT YEAR","Two couples form a lifelong friendship during annual reunions on one of South Carolina's barrier islands.","by Dorothea Benton Frank","Dorothea Benton Frank","Morrow"
"644","GOLDEN PREY","Lucas Davenport, now a U.S. Marshal, pursues a thief who robbed a drug cartel and killed a child in Biloxi, Miss.","by John Sandford","John Sandford","Putnam"
"645","GWENDY'S BUTTON BOX","King returns to Castle Rock, Me., in this novella set in 1974.","by Stephen King and Richard Chizmar","Stephen King and Richard Chizmar","Cemetery Dance"
"646","YOU WILL PAY","Twenty years later, survivors probe the disappearance of two teenage girls from a religious camp.","by Lisa Jackson","Lisa Jackson","Kensington"
"647","NORSE MYTHOLOGY","A retelling of Norse folklore.","by Neil Gaiman","Neil Gaiman","Norton"
"648","THE FROZEN HOURS","A fictional account of the Battle of Choisin Reservoir during the Korean War, where Americans battled Chinese forces and brutal temperatures.","by Jeff Shaara","Jeff Shaara","Ballantine"
"649","AGAINST ALL ODDS","A mother must learn to let her adult children make their own decisions.","by Danielle Steel","Danielle Steel","Delacorte"
"650","RICH PEOPLE PROBLEMS","A family battles over money in the final installment of the trilogy including ""Crazy Rich Asians"" and ""China Rich Girlfriend.""","by Kevin Kwan","Kevin Kwan","Doubleday"
"651","SINCE WE FELL","A woman struggles to understand who she really is, first searching for her father, then coping with a breakdown.","by Dennis Lehane","Dennis Lehane","Ecco/HarperCollins"
"652","ANYTHING IS POSSIBLE","A novel-in-stories about the lives of the inhabitants of the rural Illinois hometown of Lucy Barton, the protagonist of Strout’s previous novel.","by Elizabeth Strout","Elizabeth Strout","Random House"
"653","FULL WOLF MOON","Could hikers in the Adirondacks have been killed by werewolfs?","by Lincoln Child","Lincoln Child","Doubleday"
"654","THE THIRST","Retired Inspector Harry Hole is drawn back to the Crime Squad by the case of a serial killer who targets women who use Tinder — and apparently bites them to death.","by Jo Nesbo","Jo Nesbø","Knopf"
