"","title","description","contributor","author","publisher"
"1629","EDGE OF DAWN","Two members of an elite group of Breed warriors struggle with their passion for each other; Book 11 in the Midnight Breed series.","by Lara Adrian","Lara Adrian","Delacorte"
"1630","THE RACKETEER","An imprisoned ex-lawyer schemes to exchange information about a murdered federal judge for his freedom. ","by John Grisham","John Grisham","Doubleday"
"1631","UNTIL THE END OF TIME","The stories of two relationships, four decades apart, intersect unexpectedly.","by Danielle Steel","Danielle Steel","Delacorte"
"1632","THE SOUND OF BROKEN GLASS","Detectives Gemma Jones and her husband, Duncan Kincaid, investigate when a respected barrister is found dead in a seedy London hotel; the 15th book in a series.","by Deborah Crombie","Deborah Crombie","Morrow/HarperCollins"
"1633","THE POWER TRIP","Wealthy, famous and decadent characters gather on a luxury yacht off the coast of Cabo San Lucas. ","by Jackie Collins","Jackie Collins","St. Martin's"
"1634","THE TWELVE TRIBES OF HATTIE","Fifty-some years in the life of an African-American family whose matriarch arrives in Philadelphia in 1923.","by Ayana Mathis","Ayana Mathis","Knopf"
"1635","THE FIFTH ASSASSIN","Beecher White tracks an assassin who is recreating the crimes of the four men who murdered presidents. ","by Brad Meltzer","Brad Meltzer","Grand Central"
"1636","GHOSTMAN","","by Roger Hobbs","Roger Hobbs","Knopf"
"1637","THE NIGHT RANGER","The former C.I.A. operative John Wells pitches in when four young Americans who work at a refugee camp in Somalia are hijacked by bandits. ","by Alex Berenson","Alex Berenson","Putnam"
"1638","INSANE CITY","The run-up to a glamorous wedding involves pranks, criminals, high-speed chases, exotic animals and other mayhem. ","by Dave Barry","Dave Barry","Putnam"
"1639","THE DAYLIGHT WAR","","by Peter V. Brett","Peter V Brett","Del Rey"
"1640","DEADLY STAKES","Ali Reynolds must determine whether two crimes in Arizona are related in order to stop the killer.","by J. A. Jance","J A Jance","Touchstone"
"1641","THE THIRD BULLET","The veteran sniper Bob Lee Swagger investigates the assassination of John F. Kennedy. ","by Stephen Hunter","Stephen Hunter","Simon & Schuster"
"1642","THE AVIATOR'S WIFE","A novel based on the life of Anne Morrow Lindbergh, who later became a successful writer.","by Melanie Benjamin","Melanie Benjamin","Delacorte"
"1643","EVER AFTER","The witch Rachel Morgan and an unlikely ally battle a demon in order to prevent an apocalypse. ","by Kim Harrison","Kim Harrison","HarperCollins Voyager"
"1644","THE ROUND HOUSE","An American Indian family faces the ramifications of a vicious crime; winner of the 2012 National Book Award for fiction. ","by Louise Erdrich","Louise Erdrich","Harper/HarperCollins"
"1645","MRS. LINCOLN'S DRESSMAKER","The private lives of Abraham and Mary Todd Lincoln as seen through the eyes of the first lady’s dressmaker and confidante, Elizabeth Keckley.","by Jennifer Chiaverini","Jennifer Chiaverini","Dutton"
"1646","HOUSE OF EARTH","","by Woody Guthrie","Woody Guthrie","Harper"
"1647","SPEAKING FROM AMONG THE BONES","When the body of the church organist turns up in the tomb of an English hamlet’s patron saint, the 11-year-old sleuth and chemist Flavia de Luce is on the case.","by Alan Bradley","Alan Bradley","Delacorte"
"1648","PROOF OF GUILT","Inspector Ian Rutledge’s supervisor interferes with his pursuit of a case. ","by Charles Todd","Charles Todd","Morrow/HarperCollins"
"1649","THE FORGOTTEN","A special agent with the United States Army investigates his aunt’s mysterious death in a picture-perfect town on Florida’s Gulf Coast.","by David Baldacci","David Baldacci","Grand Central"
"1650","CROSS ROADS","A comatose businessman encounters Jesus, the Holy Spirit and God; from the author of “The Shack.”","by Wm. Paul Young","Wm Paul Young","FaithWords"
